"CookieName","SampleValue","Expire","Type","Domain","Domain-Country","Last-Found-URL","Last-Found-Date","CookieScope","VendorID","Vendorname","VendorURL","VendorPurposes","VendorLegIntPurposes","Vendor-Country"
"__cmpcccu*","aBQD-nZxgBQAzADYAHAB4AAQADgALAAuABoAIIATQBDgOJAuGBoUD0AKNAVEAqWAAA","365 days","Function","*.consentmanager.net","DE","https://opscrunch.com","2026-07-04","3rd","s23","consentmanager","https://www.consentmanager.net/en/privacy/","c51","","SE"
"__cmpconsent*","COZlsIAO7V3k3AfaPyDEA7CMAP_AAH_AAAigGVNP_X_fb3_j-_599_t0eY1f9_7_v-0zjheds-8Nyd_X_L8X_2M7vB36pr4KuR4ku3bBAQdtHOncTQmR6IlVqTKsb02Mr7NKJ7PEmlsbe2dYGH9_n9XTfYIR5tvH9_3hgAAAAgAAAQMqaf-v--3v_H9_z77_bo8xq_7_3_f9pnHC87Z94bk7-v-X4v_sZ3eDv1TXwVcjxJdu2CAg7aOdO4mhMj0","90 days","Function","*.consentmanager.net","DE","https://opscrunch.com","2026-07-04","1st","s23","consentmanager","https://www.consentmanager.net/en/privacy/","c51","","SE"
"__cmpcccu*","aBQIqK-YAAgABAJAA0AB4A5wCcAHEgPbAsCBcMFKYAR_pj_bgA","Persistent","Function","cdn.consentmanager.net","DE","https://opscrunch.com","2026-07-04","3rd","s23","consentmanager","https://www.consentmanager.net/en/privacy/","c51","","SE"
"__cmpconsent*","CQIpN9gQIpN9gAfdXBENBRFgAAAAAAAAAAigAAAAAAAA","Persistent","Function","cdn.consentmanager.net","DE","https://opscrunch.com","2026-07-04","3rd","s23","consentmanager","https://www.consentmanager.net/en/privacy/","c51","","SE"
"__cmpccc*","YUNRbTJFbVJnQUFBQUFB","Persistent","Function","opscrunch.com","US","https://opscrunch.com","2026-07-04","3rd","s23","consentmanager","https://www.consentmanager.net/en/privacy/","c51","","SE"
"__cmpccc*","aCQm2EmNAAAAAAA","Session","Function","opscrunch.com","US","https://opscrunch.com","2026-07-04","1st","s23","consentmanager","https://www.consentmanager.net/en/privacy/","c51","","SE"
"__cmpconsent*","Q1FtMGVqQVFtMGVqQUFmZDVCRU5DbUZnQUFBQUFBQUFBQWlnQUFBQUFBQUEuSUFBQQ==","Persistent","Function","opscrunch.com","US","https://opscrunch.com","2026-07-04","3rd","s23","consentmanager","https://www.consentmanager.net/en/privacy/","c51","","SE"
"__cmpconsent*","CQm0ejAQm0ejAAfd5BENCmFgAAAAAAAAAAigAAAAAAAA.IAAA","Session","Function","opscrunch.com","US","https://opscrunch.com","2026-07-04","1st","s23","consentmanager","https://www.consentmanager.net/en/privacy/","c51","","SE"
"_ga_*","deleted","730 days","Measurement","opscrunch.com","US","https://opscrunch.com","2026-07-04","1st","s26","Google Analytics","https://business.safety.google/privacy/","c54","","IE"
"_ga","GA1.1.1374714111.1783152579","730 days","Measurement","opscrunch.com","US","https://opscrunch.com","2026-07-04","1st","s26","Google Analytics","https://business.safety.google/privacy/","c54","","IE"
""